date,state,parlimen,dun,sex,age,ethnicity,population
2020-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,overall,18.696
2020-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,citizen,18.193
2020-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,noncitizen,0.503
2020-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,female,overall,overall,8.831
2020-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,male,overall,overall,9.865
2021-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,overall,18.9
2021-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,citizen,18.3
2021-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,noncitizen,0.6
2021-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,female,overall,overall,8.9
2021-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,male,overall,overall,10.0
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,overall,19.0
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,citizen,18.4
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,noncitizen,0.6
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,female,overall,overall,9.0
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,male,overall,overall,10.0
2020-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,overall,18.129
2020-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,citizen,17.06
2020-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,noncitizen,1.069
2020-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,female,overall,overall,9.029
2020-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,male,overall,overall,9.1
2021-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,overall,18.3
2021-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,citizen,17.1
2021-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,noncitizen,1.2
2021-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,female,overall,overall,9.1
2021-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,male,overall,overall,9.2
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,overall,18.4
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,citizen,17.2
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,noncitizen,1.3
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,female,overall,overall,9.2
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,male,overall,overall,9.2
2020-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,overall,24.239
2020-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,citizen,23.392
2020-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,noncitizen,0.847
2020-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,female,overall,overall,11.624
2020-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,male,overall,overall,12.615
2021-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,overall,24.5
2021-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,citizen,23.5
2021-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,noncitizen,1.0
2021-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,female,overall,overall,11.7
2021-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,male,overall,overall,12.7
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,overall,24.7
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,citizen,23.6
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,noncitizen,1.0
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,female,overall,overall,11.8
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,male,overall,overall,12.8
2020-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,overall,11.883
2020-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,citizen,11.793
2020-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,noncitizen,0.09
2020-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,female,overall,overall,5.859
