date,state,parlimen,sex,age,ethnicity,population
2020-01-01,Perlis,P.001 Padang Besar,both,overall,overall,86.798
2020-01-01,Perlis,P.001 Padang Besar,both,overall,citizen,84.074
2020-01-01,Perlis,P.001 Padang Besar,both,overall,noncitizen,2.724
2020-01-01,Perlis,P.001 Padang Besar,female,overall,overall,42.311
2020-01-01,Perlis,P.001 Padang Besar,male,overall,overall,44.487
2021-01-01,Perlis,P.001 Padang Besar,both,overall,overall,87.6
2021-01-01,Perlis,P.001 Padang Besar,both,overall,citizen,84.5
2021-01-01,Perlis,P.001 Padang Besar,both,overall,noncitizen,3.1
2021-01-01,Perlis,P.001 Padang Besar,female,overall,overall,42.8
2021-01-01,Perlis,P.001 Padang Besar,male,overall,overall,44.9
2022-01-01,Perlis,P.001 Padang Besar,both,overall,overall,88.3
2022-01-01,Perlis,P.001 Padang Besar,both,overall,citizen,85.0
2022-01-01,Perlis,P.001 Padang Besar,both,overall,noncitizen,3.2
2022-01-01,Perlis,P.001 Padang Besar,female,overall,overall,43.1
2022-01-01,Perlis,P.001 Padang Besar,male,overall,overall,45.2
2020-01-01,Perlis,P.002 Kangar,both,overall,overall,100.755
2020-01-01,Perlis,P.002 Kangar,both,overall,citizen,98.479
2020-01-01,Perlis,P.002 Kangar,both,overall,noncitizen,2.276
2020-01-01,Perlis,P.002 Kangar,female,overall,overall,50.88
2020-01-01,Perlis,P.002 Kangar,male,overall,overall,49.875
2021-01-01,Perlis,P.002 Kangar,both,overall,overall,101.7
2021-01-01,Perlis,P.002 Kangar,both,overall,citizen,99.1
2021-01-01,Perlis,P.002 Kangar,both,overall,noncitizen,2.6
2021-01-01,Perlis,P.002 Kangar,female,overall,overall,51.4
2021-01-01,Perlis,P.002 Kangar,male,overall,overall,50.3
2022-01-01,Perlis,P.002 Kangar,both,overall,overall,102.5
2022-01-01,Perlis,P.002 Kangar,both,overall,citizen,99.8
2022-01-01,Perlis,P.002 Kangar,both,overall,noncitizen,2.7
2022-01-01,Perlis,P.002 Kangar,female,overall,overall,51.8
2022-01-01,Perlis,P.002 Kangar,male,overall,overall,50.7
2020-01-01,Perlis,P.003 Arau,both,overall,overall,97.332
2020-01-01,Perlis,P.003 Arau,both,overall,citizen,95.902
2020-01-01,Perlis,P.003 Arau,both,overall,noncitizen,1.43
2020-01-01,Perlis,P.003 Arau,female,overall,overall,49.349
2020-01-01,Perlis,P.003 Arau,male,overall,overall,47.983
2021-01-01,Perlis,P.003 Arau,both,overall,overall,98.3
2021-01-01,Perlis,P.003 Arau,both,overall,citizen,96.6
2021-01-01,Perlis,P.003 Arau,both,overall,noncitizen,1.6
2021-01-01,Perlis,P.003 Arau,female,overall,overall,49.9
2021-01-01,Perlis,P.003 Arau,male,overall,overall,48.4
2022-01-01,Perlis,P.003 Arau,both,overall,overall,99.0
2022-01-01,Perlis,P.003 Arau,both,overall,citizen,97.3
2022-01-01,Perlis,P.003 Arau,both,overall,noncitizen,1.7
2022-01-01,Perlis,P.003 Arau,female,overall,overall,50.2
2022-01-01,Perlis,P.003 Arau,male,overall,overall,48.8
2020-01-01,Kedah,P.004 Langkawi,both,overall,overall,94.138
2020-01-01,Kedah,P.004 Langkawi,both,overall,citizen,90.015
2020-01-01,Kedah,P.004 Langkawi,both,overall,noncitizen,4.123
2020-01-01,Kedah,P.004 Langkawi,female,overall,overall,45.444
2020-01-01,Kedah,P.004 Langkawi,male,overall,overall,48.694
2021-01-01,Kedah,P.004 Langkawi,both,overall,overall,95.0
2021-01-01,Kedah,P.004 Langkawi,both,overall,citizen,91.1
2021-01-01,Kedah,P.004 Langkawi,both,overall,noncitizen,3.9
2021-01-01,Kedah,P.004 Langkawi,female,overall,overall,46.0
2021-01-01,Kedah,P.004 Langkawi,male,overall,overall,49.1
2022-01-01,Kedah,P.004 Langkawi,both,overall,overall,95.9
2022-01-01,Kedah,P.004 Langkawi,both,overall,citizen,92.1
2022-01-01,Kedah,P.004 Langkawi,both,overall,noncitizen,3.8
2022-01-01,Kedah,P.004 Langkawi,female,overall,overall,46.4
2022-01-01,Kedah,P.004 Langkawi,male,overall,overall,49.5
2020-01-01,Kedah,P.005 Jerlun,both,overall,overall,66.086
2020-01-01,Kedah,P.005 Jerlun,both,overall,citizen,65.407
2020-01-01,Kedah,P.005 Jerlun,both,overall,noncitizen,0.679
2020-01-01,Kedah,P.005 Jerlun,female,overall,overall,33.309
2020-01-01,Kedah,P.005 Jerlun,male,overall,overall,32.777
2021-01-01,Kedah,P.005 Jerlun,both,overall,overall,66.7
2021-01-01,Kedah,P.005 Jerlun,both,overall,citizen,66.1
2021-01-01,Kedah,P.005 Jerlun,both,overall,noncitizen,0.6
2021-01-01,Kedah,P.005 Jerlun,female,overall,overall,33.7
2021-01-01,Kedah,P.005 Jerlun,male,overall,overall,33.0
2022-01-01,Kedah,P.005 Jerlun,both,overall,overall,67.3
